counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;01:16:14.665216;0,005;0,0;0,0;0,0;1;900,005;0;80.0;80.0;80.0;80.0;38.64;38.64;38.64;38.64
2;01:16:14.952973;0,011;0,0;0,0;0,0;1;900,004;0;80.0;80.0;80.0;80.0;38.64;38.64;38.64;38.64
3;01:16:15.297444;0,005;0,708;0,0;1,0;1;1417,072;0;80.0;80.0;80.0;80.0;38.64;38.64;38.64;38.64
4;01:16:15.612069;0,008;0,0;0,0;1,0;1;6273,708;0;80.0;80.0;80.0;80.0;38.64;38.64;38.64;38.64
5;01:16:15.906459;3,221;0,65;0,0;1,0;2;3334,591;0;80.0;80.0;80.0;80.0;38.64;38.64;38.64;38.64
6;01:16:16.199200;11,579;0,65;0,0;0,437;2;1361,281;0;79.983;79.983;79.987;79.987;38.637;38.637;38.638;38.638
7;01:16:16.516118;15,388;1,0;0,0;0,485;2;1392,363;0;79.885;79.885;79.912;79.912;38.622;38.622;38.626;38.626
8;01:16:16.809393;19,602;1,0;0,0;0,517;2;1409,044;0;79.791;79.791;79.84;79.84;38.607;38.607;38.614;38.614
9;01:16:17.102989;23,795;1,0;0,0;0,724;2;1513,975;0;79.686;79.687;79.769;79.769;38.59;38.59;38.603;38.603
10;01:16:17.431734;28,789;1,0;0,0;1,0;2;1787,905;0;79.555;79.556;79.682;79.682;38.569;38.569;38.589;38.589
11;01:16:17.722361;33,838;1,0;0,0;1,0;2;2127,26;0;79.435;79.436;79.59;79.591;38.55;38.55;38.574;38.575
12;01:16:18.019757;39,243;1,0;0,0;1,0;2;2503,27;0;79.316;79.317;79.497;79.498;38.531;38.531;38.56;38.56
13;01:16:18.346544;45,639;1,0;0,0;1,0;2;2921,279;0;79.186;79.186;79.393;79.394;38.51;38.51;38.543;38.543
14;01:16:18.648410;52,037;1,0;0,0;1,0;2;3305,449;0;79.062;79.062;79.293;79.297;38.49;38.49;38.527;38.527
15;01:16:18.932900;58,621;1,0;0,0;1,0;2;3833,577;0;78.947;78.947;79.204;79.206;38.472;38.472;38.513;38.513
16;01:16:19.261149;65,427;1,0;0,0;1,0;2;4167,514;0;78.818;78.819;79.104;79.111;38.451;38.451;38.497;38.498
17;01:16:19.547145;70,87;1,0;0,0;1,0;2;4507,131;0;78.707;78.702;79.027;79.019;38.433;38.432;38.484;38.483
18;01:16:19.831870;78,285;1,0;0,0;1,0;2;5049,764;0;78.576;78.569;78.956;78.939;38.412;38.411;38.473;38.47
19;01:16:20.165710;86,487;1,0;0,0;1,0;2;5513,678;0;78.425;78.414;78.877;78.861;38.388;38.386;38.46;38.458
20;01:16:20.448578;93,318;1,0;0,0;1,0;2;5913,812;0;78.287;78.278;78.81;78.795;38.366;38.365;38.45;38.447
21;01:16:20.747338;100,247;1,0;0,0;1,0;2;6339,047;0;78.144;78.152;78.739;78.738;38.343;38.344;38.438;38.438
22;01:16:21.061868;102,636;1,0;0,0;1,0;3;4180,61;0;78.012;78.031;78.665;78.672;38.322;38.325;38.426;38.427
23;01:16:21.345937;107,635;0,0;0,0;1,0;3;4146,678;0;77.88;77.899;78.601;78.61;38.301;38.304;38.416;38.418
24;01:16:21.625931;104,21;0,0;1,0;1,0;3;3887,759;0;77.81;77.774;78.542;78.525;38.29;38.284;38.407;38.404
25;01:16:21.939800;97,757;0,0;0,0;1,0;3;3622,444;0;77.76;77.625;78.485;78.425;38.282;38.26;38.398;38.388
26;01:16:22.219336;92,93;0,0;0,0;1,0;3;3520,961;0;77.724;77.488;78.439;78.332;38.276;38.238;38.39;38.373
27;01:16:22.500174;86,421;0,0;0,961;1,0;3;3230,006;0;77.7;77.367;78.394;78.24;38.272;38.219;38.383;38.358
28;01:16:22.821566;80,941;0,0;0,0;1,0;3;3133,159;0;77.701;77.243;78.341;78.138;38.272;38.199;38.375;38.342
29;01:16:23.105126;78,816;0,0;0,0;1,0;3;3057,494;0;77.724;77.13;78.295;78.044;38.276;38.181;38.367;38.327
30;01:16:23.387611;72,543;0,0;0,0;1,0;3;2761,321;0;77.744;77.02;78.245;77.952;38.279;38.163;38.359;38.312
31;01:16:23.709341;68,075;0,0;0,0;1,0;3;2640,258;0;77.781;76.897;78.19;77.848;38.285;38.143;38.35;38.296
32;01:16:23.995688;64,377;0,0;0,0;0,0;1;4522,314;0;77.833;76.791;78.136;77.748;38.293;38.127;38.342;38.28
33;01:16:24.282140;61,376;0,0;0,0;0,429;2;3609,122;0;77.899;76.701;78.084;77.646;38.304;38.112;38.333;38.263
34;01:16:24.620220;56,753;0,144;0,0;1,0;2;3487,804;0;77.986;76.602;78.013;77.518;38.318;38.096;38.322;38.243
35;01:16:24.919400;59,161;1,0;0,0;1,0;2;3605,627;0;78.066;76.512;77.951;77.396;38.331;38.082;38.312;38.223
36;01:16:25.225426;66,231;1,0;0,0;1,0;2;4166,604;0;78.126;76.425;77.889;77.282;38.34;38.068;38.302;38.205
37;01:16:25.570049;73,928;1,0;0,0;1,0;2;4759,941;0;78.178;76.32;77.821;77.172;38.349;38.051;38.291;38.187
38;01:16:25.899066;81,562;1,0;0,0;1,0;2;5121,037;0;78.224;76.207;77.755;77.064;38.356;38.033;38.281;38.17
39;01:16:26.204921;88,534;1,0;0,0;1,0;2;5647,228;0;78.259;76.1;77.705;76.979;38.361;38.016;38.273;38.157
40;01:16:26.547431;96,287;1,0;0,0;1,0;2;6092,039;0;78.289;75.986;77.654;76.893;38.366;37.998;38.265;38.143
41;01:16:26.857042;99,013;1,0;0,0;1,0;1;5474,594;0;78.315;75.888;77.598;76.808;38.37;37.982;38.256;38.129
42;01:16:27.160189;104,351;1,0;0,0;1,0;3;4315,519;0;78.334;75.792;77.549;76.732;38.373;37.967;38.248;38.117
43;01:16:27.496428;110,18;1,0;0,0;1,0;3;4583,061;0;78.352;75.691;77.5;76.656;38.376;37.951;38.24;38.105
44;01:16:27.797039;115,356;0,0;0,0;1,0;3;4460,508;0;78.369;75.598;77.457;76.589;38.379;37.936;38.233;38.094
45;01:16:28.100212;109,716;0,0;1,0;1,0;3;4167,958;0;78.396;75.52;77.397;76.509;38.383;37.923;38.223;38.081
46;01:16:28.435170;106,151;0,0;0,0;1,0;3;4095,322;0;78.422;75.399;77.319;76.393;38.388;37.904;38.211;38.063
47;01:16:28.729405;103,599;0,036;0,0;1,0;3;3922,884;0;78.457;75.27;77.258;76.275;38.393;37.883;38.201;38.044
48;01:16:29.029384;101,818;1,0;0,0;1,0;3;4212,576;0;78.527;75.148;77.227;76.16;38.404;37.864;38.196;38.026
49;01:16:29.365512;98,561;0,0;0,0;1,0;3;3747,068;0;78.629;75.024;77.204;76.035;38.421;37.844;38.193;38.006
50;01:16:29.667664;93,87;0,0;0,0;1,0;3;3636,084;0;78.76;74.918;77.169;75.917;38.442;37.827;38.187;37.987
51;01:16:29.972974;90,083;0,0;0,0;1,0;3;3482,173;0;78.907;74.821;77.134;75.795;38.465;37.811;38.181;37.967
52;01:16:30.324825;87,421;0,756;0,0;1,0;3;3617,643;0;79.09;74.717;77.094;75.658;38.494;37.795;38.175;37.945
53;01:16:30.627590;92,134;1,0;0,0;1,0;3;3771,84;0;79.227;74.623;77.066;75.549;38.516;37.78;38.171;37.928
