counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;13:13:57.414628;0,011;0,0;0,0;0,0;1;900,002;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
2;13:13:57.774338;0,009;0,0;0,0;0,0;1;900,001;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
3;13:13:58.165589;0,01;0,0;0,0;0,0;1;900,001;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
4;13:13:58.534471;0,98;1,0;0,0;0,419;2;1250,849;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
5;13:13:58.915050;8,625;1,0;0,0;0,449;2;1270,412;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
6;13:13:59.314902;15,784;1,0;0,0;1,0;2;2159,222;0;79.95;79.95;79.973;79.973;33.632;33.632;33.636;33.636
7;13:13:59.670883;24,656;1,0;0,0;1,0;2;2986,527;0;79.885;79.885;79.937;79.937;33.622;33.622;33.63;33.63
8;13:13:59.989986;32,218;1,0;0,0;1,0;2;3888,623;0;79.831;79.831;79.908;79.908;33.613;33.613;33.625;33.625
9;13:14:00.331835;40,655;0,973;0,0;1,0;2;4972,215;0;79.777;79.777;79.879;79.879;33.604;33.604;33.621;33.621
10;13:14:00.659027;40,482;0,0;0,0;1,0;2;4627,895;0;79.719;79.719;79.846;79.846;33.595;33.595;33.615;33.615
11;13:14:00.979870;43,82;1,0;0,0;1,0;2;5427,804;0;79.666;79.666;79.817;79.818;33.587;33.587;33.611;33.611
12;13:14:01.324136;53,111;0,988;0,0;1,0;2;6449,14;0;79.614;79.614;79.79;79.79;33.578;33.578;33.606;33.606
13;13:14:01.639283;60,788;0,925;0,0;1,0;3;4564,892;0;79.557;79.557;79.762;79.764;33.569;33.569;33.602;33.602
14;13:14:01.946901;65,921;1,0;0,0;1,0;3;4973,666;0;79.506;79.506;79.737;79.74;33.561;33.561;33.598;33.598
15;13:14:02.291024;72,131;1,0;0,0;1,0;3;5454,729;0;79.453;79.453;79.714;79.717;33.553;33.553;33.594;33.595
16;13:14:02.610289;79,193;1,0;0,0;1,0;3;6014,33;0;79.396;79.396;79.692;79.695;33.543;33.543;33.591;33.591
17;13:14:02.919777;85,671;1,0;0,0;1,0;3;6495,038;0;79.345;79.345;79.676;79.674;33.535;33.535;33.588;33.588
18;13:14:03.257459;91,68;1,0;0,0;1,0;4;4942,317;0;79.294;79.293;79.66;79.656;33.527;33.527;33.586;33.585
19;13:14:03.571675;96,072;1,0;0,0;1,0;4;5214,805;0;79.239;79.242;79.641;79.64;33.518;33.519;33.582;33.582
20;13:14:03.877136;100,221;1,0;0,0;1,0;4;5414,653;0;79.188;79.203;79.619;79.631;33.51;33.512;33.579;33.581
21;13:14:04.213225;104,686;1,0;0,0;1,0;4;5648,932;0;79.137;79.155;79.604;79.618;33.502;33.505;33.577;33.579
22;13:14:04.533080;109,595;1,0;0,0;1,0;4;5944,029;0;79.087;79.101;79.591;79.602;33.494;33.496;33.575;33.576
23;13:14:04.842613;113,51;0,745;0,0;1,0;4;6130,701;0;79.057;79.049;79.588;79.583;33.489;33.488;33.574;33.573
24;13:14:05.186169;110,886;0,0;0,306;1,0;4;5627,694;0;79.044;78.997;79.586;79.555;33.487;33.48;33.574;33.569
25;13:14:05.509025;107,842;0,0;0,0;1,0;4;5642,748;0;79.028;78.94;79.581;79.524;33.484;33.47;33.573;33.564
26;13:14:05.814321;105,666;0,0;0,0;1,0;4;5498,85;0;78.983;78.917;79.558;79.515;33.477;33.467;33.569;33.562
27;13:14:06.158200;102,628;0,0;0,82;1,0;4;5144,503;0;78.932;78.898;79.529;79.509;33.469;33.464;33.565;33.561
28;13:14:06.470443;95,111;0,0;0,0;1,0;4;4941,05;0;78.913;78.848;79.519;79.478;33.466;33.456;33.563;33.556
29;13:14:06.766866;88,354;0,0;0,0;1,0;4;4497,949;0;78.885;78.8;79.51;79.451;33.462;33.448;33.562;33.552
30;13:14:07.094189;81,563;0,0;0,0;1,0;4;4270,16;0;78.851;78.751;79.498;79.423;33.456;33.44;33.56;33.548
31;13:14:07.400559;77,234;0,0;0,0;1,0;3;5793,045;0;78.812;78.697;79.482;79.393;33.45;33.432;33.557;33.543
32;13:14:07.701825;73,314;0,0;0,0;1,0;3;5301,624;0;78.784;78.649;79.466;79.366;33.446;33.424;33.555;33.539
33;13:14:08.044656;71,71;1,0;0,0;1,0;3;5541,057;0;78.769;78.596;79.453;79.336;33.443;33.415;33.552;33.534
34;13:14:08.374753;73,521;1,0;0,0;1,0;3;5530,304;0;78.754;78.539;79.438;79.304;33.441;33.406;33.55;33.529
35;13:14:08.680804;73,742;0,0;0,0;1,0;3;5330,82;0;78.747;78.488;79.425;79.276;33.439;33.398;33.548;33.524
36;13:14:09.018445;72,059;1,0;0,0;1,0;3;5603,61;0;78.735;78.438;79.41;79.245;33.438;33.39;33.546;33.519
37;13:14:09.337979;74,92;1,0;0,0;1,0;3;5699,585;0;78.718;78.381;79.395;79.21;33.435;33.381;33.543;33.514
38;13:14:09.652699;78,081;1,0;0,0;1,0;3;6019,095;0;78.71;78.33;79.385;79.176;33.434;33.373;33.542;33.508
39;13:14:10.000876;82,712;1,0;0,0;1,0;3;6286,771;0;78.699;78.279;79.373;79.142;33.432;33.365;33.54;33.503
40;13:14:10.329117;88,715;1,0;0,0;1,0;4;4796,817;0;78.674;78.23;79.349;79.119;33.428;33.357;33.536;33.499
41;13:14:10.644706;87,628;0,0;0,0;1,0;4;4584,184;0;78.668;78.181;79.333;79.085;33.427;33.349;33.533;33.494
42;13:14:10.998203;82,833;1,0;0,0;1,0;4;4611,33;0;78.666;78.128;79.322;79.04;33.427;33.34;33.532;33.486
43;13:14:11.330793;83,505;1,0;0,0;1,0;4;4545,25;0;78.653;78.069;79.311;78.985;33.425;33.331;33.53;33.478
44;13:14:11.658779;83,976;0,0;0,0;1,0;4;4397,626;0;78.649;78.017;79.3;78.934;33.424;33.323;33.528;33.469
45;13:14:12.012592;83,505;1,0;0,0;1,0;4;4562,411;0;78.66;77.963;79.289;78.877;33.426;33.314;33.526;33.46
46;13:14:12.338465;87,053;1,0;0,0;1,0;4;4719,105;0;78.671;77.908;79.277;78.819;33.427;33.305;33.524;33.451
47;13:14:12.647251;91,135;1,0;0,0;1,0;4;4960,895;0;78.669;77.868;79.254;78.779;33.427;33.299;33.521;33.445
48;13:14:12.990874;95,147;0,937;0,0;1,0;4;5158,757;0;78.664;77.83;79.229;78.744;33.426;33.293;33.517;33.439
49;13:14:13.316781;98,305;0,0;0,0;1,0;4;5124,887;0;78.677;77.777;79.215;78.693;33.428;33.284;33.514;33.431
50;13:14:13.631601;98,091;0,267;0,0;1,0;4;5192,599;0;78.697;77.727;79.207;78.638;33.432;33.276;33.513;33.422
51;13:14:13.980064;99,35;0,475;0,0;1,0;4;5316,277;0;78.704;77.684;79.192;78.596;33.433;33.269;33.511;33.415
52;13:14:14.313274;101,782;0,62;0,0;1,0;4;5481,836;0;78.696;77.649;79.169;78.557;33.431;33.264;33.507;33.409
53;13:14:14.633416;102,156;0,212;0,0;1,0;4;5417,26;0;78.707;77.598;79.162;78.505;33.433;33.256;33.506;33.401
54;13:14:14.980669;102,236;0,314;0,0;1,0;4;5414,67;0;78.723;77.548;79.156;78.453;33.436;33.248;33.505;33.392
55;13:14:15.307675;105,089;0,565;0,0;1,0;4;5629,174;0;78.706;77.513;79.133;78.413;33.433;33.242;33.501;33.386
56;13:14:15.627372;108,182;0,561;0,0;1,0;4;5777,779;0;78.691;77.469;79.119;78.37;33.431;33.235;33.499;33.379
57;13:14:15.978553;111,625;0,957;0,0;1,0;4;6014,941;0;78.678;77.423;79.108;78.327;33.428;33.228;33.497;33.372
