counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;14:48:30.230090;0,003;0,0;0,0;0,0;1;900,0;0;26.016;26.016;26.025;26.024;26.003;26.002;27.004;27.004
2;14:48:30.711514;0,002;1,0;0,0;1,0;1;3455,314;0;26.017;26.017;26.027;26.026;26.003;26.003;27.004;27.004
3;14:48:31.184728;0,001;0,804;0,0;1,0;1;8215,262;0;26.019;26.018;26.029;26.028;26.003;26.003;27.005;27.005
4;14:48:31.734277;0,003;1,0;0,0;1,0;1;8106,389;0;26.021;26.019;26.03;26.03;26.003;26.003;27.005;27.005
5;14:48:32.203540;0,003;0,0;0,0;0,0;1;7690,953;0;26.023;26.021;26.033;26.032;26.004;26.003;27.005;27.005
6;14:48:32.663319;0,002;0,0;0,0;0,0;1;4977,192;0;26.025;26.022;26.035;26.034;26.004;26.004;27.006;27.006
7;14:48:33.195311;0,017;0,0;0,0;0,159;2;2997,004;0;26.027;26.024;26.037;26.037;26.004;26.004;27.006;27.006
8;14:48:33.669120;7,742;1,0;0,0;0,432;2;1259,298;0;26.029;26.025;26.039;26.039;26.005;26.004;27.006;27.006
9;14:48:34.121977;17,035;1,0;0,0;1,0;2;1908,538;0;26.03;26.027;26.041;26.041;26.005;26.004;27.007;27.007
10;14:48:34.638551;27,649;0,784;0,0;1,0;2;3057,286;0;26.032;26.029;26.044;26.043;26.005;26.005;27.007;27.007
11;14:48:35.065190;38,885;1,0;0,0;1,0;2;4430,833;0;26.034;26.031;26.048;26.047;26.005;26.005;27.008;27.008
12;14:48:35.486030;39,599;0,0;0,0;1,0;3;2655,118;0;26.036;26.032;26.051;26.051;26.006;26.005;27.008;27.008
13;14:48:35.962705;39,817;1,0;0,0;1,0;4;1969,635;0;26.037;26.034;26.055;26.054;26.006;26.005;27.009;27.009
14;14:48:36.400171;45,1;1,0;0,0;1,0;4;2237,526;0;26.039;26.036;26.062;26.061;26.006;26.006;27.01;27.01
15;14:48:36.833354;49,989;1,0;0,0;1,0;4;2481,908;0;26.041;26.038;26.075;26.074;26.007;26.006;27.012;27.012
16;14:48:37.336104;55,251;1,0;0,0;1,0;4;2743,413;0;26.043;26.039;26.095;26.094;26.007;26.006;27.015;27.015
17;14:48:37.771521;60,405;1,0;0,0;1,0;4;3001,264;0;26.05;26.041;26.125;26.115;26.008;26.007;27.02;27.018
18;14:48:38.199937;64,855;1,0;0,0;1,0;4;3226,117;0;26.052;26.054;26.143;26.146;26.008;26.009;27.023;27.023
19;14:48:38.677203;67,295;1,0;0,0;1,0;4;3345,885;0;26.058;26.061;26.167;26.172;26.009;26.01;27.027;27.028
20;14:48:39.107796;70,327;1,0;0,0;1,0;5;2700,059;0;26.064;26.069;26.197;26.201;26.01;26.011;27.031;27.032
21;14:48:39.521946;73,987;1,0;0,0;1,0;5;2845,063;0;26.071;26.078;26.226;26.23;26.011;26.012;27.036;27.037
22;14:48:39.996871;75,698;1,0;0,0;1,0;5;2912,957;0;26.086;26.096;26.255;26.259;26.014;26.015;27.041;27.041
23;14:48:40.423117;78,227;1,0;0,0;1,0;1;2653,053;0;26.107;26.117;26.29;26.294;26.017;26.019;27.046;27.047
24;14:48:40.841070;80,815;1,0;0,0;1,0;6;2494,466;0;26.128;26.138;26.323;26.328;26.02;26.022;27.052;27.052
25;14:48:41.312226;83,731;1,0;0,0;1,0;6;2583,861;0;26.152;26.161;26.361;26.368;26.024;26.026;27.058;27.059
26;14:48:41.744607;86,55;1,0;0,0;1,0;6;2687,485;0;26.189;26.184;26.413;26.412;26.03;26.029;27.066;27.066
27;14:48:42.157545;88,995;1,0;0,0;1,0;6;2744,188;0;26.232;26.195;26.466;26.445;26.037;26.031;27.075;27.071
28;14:48:42.621856;91,89;1,0;0,0;1,0;6;2835,217;0;26.262;26.221;26.512;26.492;26.042;26.035;27.082;27.079
29;14:48:43.035084;94,99;1,0;0,0;1,0;6;2931,181;0;26.293;26.251;26.561;26.543;26.047;26.04;27.09;27.087
30;14:48:43.451170;97,764;1,0;0,0;1,0;6;3019,642;0;26.327;26.281;26.61;26.592;26.052;26.045;27.098;27.095
31;14:48:43.933984;99,219;1,0;0,0;1,0;6;3085,335;0;26.407;26.292;26.687;26.625;26.065;26.047;27.11;27.1
32;14:48:44.369407;100,735;1,0;0,0;1,0;6;3126,365;0;26.5;26.303;26.777;26.663;26.08;26.049;27.124;27.106
33;14:48:44.784845;100,865;1,0;0,0;1,0;6;3147,965;0;26.59;26.314;26.862;26.695;26.094;26.05;27.138;27.111
34;14:48:45.257321;100,01;1,0;0,0;1,0;6;3110,675;0;26.687;26.329;26.951;26.728;26.11;26.053;27.152;27.116
35;14:48:45.681771;100,574;1,0;0,0;1,0;6;3135,081;0;26.801;26.35;27.054;26.769;26.128;26.056;27.169;27.123
36;14:48:46.114792;100,08;1,0;0,0;1,0;6;3115,562;0;26.916;26.371;27.153;26.807;26.147;26.059;27.184;27.129
37;14:48:46.598396;99,294;1,0;0,0;1,0;6;3084,226;0;27.036;26.392;27.253;26.845;26.166;26.063;27.2;27.135
38;14:48:47.028741;98,605;1,0;0,0;1,0;6;3065,815;0;27.174;26.421;27.366;26.886;26.188;26.067;27.219;27.142
39;14:48:47.453492;97,96;1,0;0,0;1,0;6;3043,521;0;27.306;26.45;27.47;26.923;26.209;26.072;27.235;27.148
40;14:48:47.929227;97,991;1,0;0,0;1,0;6;3052,69;0;27.457;26.481;27.578;26.963;26.233;26.077;27.253;27.154
41;14:48:48.361918;99,848;1,0;0,0;1,0;6;3103,479;0;27.595;26.532;27.683;27.023;26.255;26.085;27.269;27.164
42;14:48:48.767402;100,534;1,0;0,0;1,0;6;3119,971;0;27.672;26.635;27.745;27.113;26.268;26.102;27.279;27.178
43;14:48:49.232095;100,304;1,0;0,0;1,0;6;3176,08;0;27.809;26.684;27.852;27.168;26.289;26.11;27.296;27.187
44;14:48:49.655175;97,294;1,0;0,0;1,0;6;3042,198;0;27.977;26.726;27.982;27.218;26.316;26.116;27.317;27.195
45;14:48:50.086429;93,326;1,0;0,0;1,0;6;2915,912;0;28.14;26.765;28.11;27.268;26.342;26.122;27.338;27.203
46;14:48:50.549256;89,155;0,0;0,659;1,0;6;2614,587;0;28.31;26.805;28.243;27.32;26.37;26.129;27.359;27.211
47;14:48:50.973779;83,775;1,0;0,0;1,0;6;2585,659;0;28.463;26.859;28.363;27.385;26.394;26.137;27.378;27.222
48;14:48:51.382325;86,491;1,0;0,0;1,0;6;2676,25;0;28.575;26.916;28.47;27.46;26.412;26.146;27.395;27.234
49;14:48:51.851777;88,254;1,0;0,0;1,0;6;2730,942;0;28.68;27.009;28.57;27.554;26.429;26.161;27.411;27.249
50;14:48:52.274652;89,499;1,0;0,0;0,262;5;8357,778;0;28.804;27.086;28.689;27.64;26.449;26.174;27.43;27.262
51;14:48:52.684669;94,136;1,0;0,0;1,0;5;3617,783;0;28.924;27.137;28.809;27.715;26.468;26.182;27.449;27.274
52;14:48:53.139038;96,73;1,0;0,0;1,0;5;3757,647;0;29.063;27.189;28.938;27.786;26.49;26.19;27.47;27.286
53;14:48:53.559261;96,69;1,0;0,0;1,0;5;3784,2;0;29.236;27.239;29.091;27.849;26.518;26.198;27.495;27.296
