counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;15:33:04.748155;0,003;0,0;0,0;0,0;1;900,0;0;26.013;26.013;26.018;26.021;26.002;26.002;27.003;27.003
2;15:33:05.233700;0,002;0,0;0,0;0,0;1;900,0;0;26.014;26.014;26.019;26.023;26.002;26.002;27.003;27.004
3;15:33:05.786751;0,001;0,0;0,0;0,0;1;900,0;0;26.015;26.015;26.021;26.025;26.002;26.002;27.003;27.004
4;15:33:06.257696;0,001;0,0;0,0;0,0;1;900,0;0;26.016;26.016;26.023;26.027;26.003;26.003;27.004;27.004
5;15:33:06.740722;0,002;0,0;0,0;0,0;1;900,0;0;26.017;26.017;26.024;26.028;26.003;26.003;27.004;27.005
6;15:33:07.289640;0,001;0,0;0,0;0,0;1;900,0;0;26.019;26.018;26.026;26.03;26.003;26.003;27.004;27.005
7;15:33:07.760019;0,002;0,0;0,0;0,0;2;900,0;0;26.02;26.019;26.028;26.032;26.003;26.003;27.005;27.005
8;15:33:08.239326;0,002;0,0;0,0;0,0;2;900,0;0;26.021;26.02;26.03;26.035;26.003;26.003;27.005;27.006
9;15:33:08.789281;0,002;0,0;0,0;0,0;2;900,0;0;26.022;26.022;26.032;26.037;26.004;26.003;27.005;27.006
10;15:33:09.265277;0,397;0,357;0,0;0,144;2;1086,427;0;26.024;26.024;26.034;26.039;26.004;26.004;27.005;27.006
11;15:33:09.750455;0,858;0,067;0,0;0,019;2;1011,814;0;26.025;26.025;26.036;26.042;26.004;26.004;27.006;27.007
12;15:33:10.296372;1,58;0,263;0,0;0,102;2;1061,45;0;26.027;26.027;26.038;26.045;26.004;26.004;27.006;27.007
13;15:33:10.772674;2,561;0,251;0,0;0,096;2;1057,721;0;26.028;26.029;26.04;26.048;26.005;26.005;27.006;27.008
14;15:33:11.257591;3,723;0,243;0,0;0,094;2;1056,505;0;26.03;26.031;26.042;26.05;26.005;26.005;27.007;27.008
15;15:33:11.802767;4,68;0,243;0,0;0,094;2;1056,32;0;26.031;26.033;26.044;26.053;26.005;26.005;27.007;27.009
16;15:33:12.275067;6,15;0,416;0,0;0,174;2;1104,521;0;26.032;26.035;26.046;26.056;26.005;26.006;27.007;27.009
17;15:33:12.766683;9,398;0,675;0,0;0,326;2;1199,267;0;26.034;26.037;26.047;26.059;26.005;26.006;27.008;27.009
18;15:33:13.314670;17,108;0,686;0,0;1,0;2;1799,583;0;26.035;26.039;26.05;26.062;26.006;26.006;27.008;27.01
19;15:33:13.786329;23,611;0,871;0,0;1,0;2;2652,761;0;26.036;26.041;26.051;26.065;26.006;26.007;27.008;27.01
