counter;time;km/h;gas;brake;clutch;gear;RPM;Lap;FLW Temp;FRW Temp;RLW Temp;RRW Temp;FLW Pres;FRW Pres;RLW Pres;RRW Pres
1;11:25:21.534417;0,005;0,0;0,0;0,0;1;900,0;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
2;11:25:21.923324;0,003;0,0;0,0;0,0;1;900,0;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
3;11:25:22.274018;0,016;1,0;0,0;1,0;1;6127,641;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
4;11:25:22.634224;0,003;0,639;0,0;1,0;1;9026,265;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
5;11:25:23.042444;0,002;0,024;0,0;0,0;1;6378,725;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
6;11:25:23.396693;0,013;0,0;0,0;0,0;1;8208,243;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
7;11:25:23.738984;0,005;0,0;0,0;0,0;1;6101,111;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
8;11:25:24.133294;0,017;0,0;0,0;0,18;2;4048,237;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
9;11:25:24.484178;1,173;1,0;0,0;0,419;2;1251,396;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
10;11:25:24.833935;8,836;1,0;0,0;0,45;2;1270,768;0;80.0;80.0;80.0;80.0;33.64;33.64;33.64;33.64
11;11:25:25.236374;16,824;1,0;0,0;1,0;2;2024,228;0;79.944;79.944;79.969;79.969;33.631;33.631;33.635;33.635
12;11:25:25.564458;24,995;1,0;0,0;1,0;2;3018,37;0;79.887;79.887;79.938;79.938;33.622;33.622;33.63;33.63
13;11:25:25.863828;32,54;1,0;0,0;1,0;2;3922,113;0;79.836;79.836;79.911;79.911;33.614;33.614;33.626;33.626
14;11:25:26.205681;41,918;1,0;0,0;1,0;2;5150,166;0;79.78;79.78;79.88;79.88;33.605;33.605;33.621;33.621
15;11:25:26.514230;51,41;1,0;0,0;1,0;2;6390,244;0;79.728;79.728;79.852;79.852;33.596;33.596;33.616;33.616
16;11:25:26.838262;60,447;0,514;0,0;1,0;2;7173,87;0;79.675;79.675;79.827;79.827;33.588;33.588;33.612;33.612
17;11:25:27.179644;66,658;1,0;0,0;1,0;2;8217,8;0;79.619;79.619;79.8;79.8;33.579;33.579;33.608;33.608
18;11:25:27.490951;74,732;0,973;0,0;1,0;2;8750,631;0;79.566;79.566;79.779;79.778;33.571;33.571;33.605;33.605
19;11:25:27.793250;75,954;0,965;0,0;1,0;2;8963,016;0;79.516;79.517;79.756;79.755;33.563;33.563;33.601;33.601
20;11:25:28.143034;76,603;0,0;0,0;1,0;3;5544,533;0;79.461;79.462;79.731;79.73;33.554;33.554;33.597;33.597
21;11:25:28.453353;76,876;0,773;0,0;1,0;3;5795,512;0;79.413;79.411;79.707;79.706;33.546;33.546;33.593;33.593
22;11:25:28.766829;82,79;0,055;0,0;1,0;3;5992,024;0;79.361;79.359;79.688;79.687;33.538;33.537;33.59;33.59
23;11:25:29.109271;81,353;0,0;0,0;1,0;3;5900,864;0;79.311;79.311;79.663;79.662;33.53;33.53;33.586;33.586
24;11:25:29.416168;79,968;0,0;0,0;1,0;3;5798,457;0;79.264;79.262;79.639;79.639;33.522;33.522;33.582;33.582
25;11:25:29.743282;78,489;0,0;0,0;1,0;3;5692,368;0;79.217;79.21;79.615;79.612;33.515;33.514;33.578;33.578
26;11:25:30.081815;76,816;0,0;0,0;1,0;3;5568,938;0;79.175;79.154;79.596;79.582;33.508;33.505;33.575;33.573
27;11:25:30.412520;75,351;0,0;0,0;1,0;3;5476,142;0;79.124;79.101;79.57;79.555;33.5;33.496;33.571;33.569
28;11:25:30.717194;73,753;0,0;0,0;1,0;3;5355,432;0;79.081;79.052;79.549;79.53;33.493;33.488;33.568;33.565
29;11:25:31.050133;70,757;0,0;0,0;1,0;3;5099,187;0;79.046;78.997;79.532;79.5;33.487;33.48;33.565;33.56
30;11:25:31.344448;68,639;0,0;0,0;1,0;3;4968,608;0;79.011;78.948;79.514;79.472;33.482;33.472;33.562;33.556
31;11:25:31.655176;67,325;0,0;0,0;1,0;3;4874,59;0;78.965;78.897;79.49;79.445;33.474;33.464;33.558;33.551
32;11:25:31.990767;64,715;0,0;0,0;1,0;3;4672,602;0;78.923;78.843;79.469;79.414;33.468;33.455;33.555;33.546
33;11:25:32.296335;62,175;0,0;0,0;1,0;3;4479,014;0;78.886;78.792;79.45;79.385;33.462;33.447;33.552;33.542
34;11:25:32.602861;60,754;0,0;0,0;1,0;3;4407,918;0;78.844;78.743;79.428;79.357;33.455;33.439;33.548;33.537
35;11:25:32.934300;57,414;0,0;0,0;1,0;3;4164,286;0;78.802;78.689;79.406;79.32;33.448;33.43;33.545;33.531
36;11:25:33.253514;55,128;0,0;0,0;1,0;3;4007,248;0;78.76;78.637;79.384;79.273;33.442;33.422;33.541;33.524
37;11:25:33.565883;53,763;0,0;0,0;1,0;3;3901,179;0;78.714;78.585;79.361;79.218;33.434;33.414;33.538;33.515
38;11:25:33.937203;57,132;0,584;0,0;1,0;3;4232,898;0;78.656;78.527;79.331;79.154;33.425;33.404;33.533;33.505
39;11:25:34.262943;56,705;0,031;0,0;1,0;3;4131,315;0;78.601;78.477;79.3;79.096;33.416;33.396;33.528;33.495
40;11:25:34.595123;61,207;1,0;0,0;1,0;3;4612,37;0;78.547;78.423;79.272;79.042;33.407;33.388;33.523;33.487
41;11:25:34.955128;67,914;1,0;0,0;1,0;3;5197,574;0;78.489;78.365;79.244;78.983;33.398;33.378;33.519;33.477
42;11:25:35.280413;74,472;1,0;0,0;1,0;3;5770,629;0;78.436;78.296;79.223;78.927;33.39;33.367;33.516;33.468
43;11:25:35.615329;80,881;1,0;0,0;1,0;3;6095,855;0;78.385;78.215;79.206;78.875;33.382;33.354;33.513;33.46
44;11:25:35.985386;88,997;1,0;0,0;1,0;3;6671,974;0;78.327;78.123;79.189;78.821;33.372;33.34;33.51;33.451
45;11:25:36.323204;94,923;1,0;0,0;1,0;3;7353,023;0;78.279;78.036;79.179;78.766;33.365;33.326;33.509;33.442
46;11:25:36.656311;100,247;1,0;0,0;1,0;3;7708,007;0;78.244;77.952;79.172;78.711;33.359;33.312;33.507;33.434
47;11:25:37.029198;107,89;1,0;0,0;1,0;3;8295,678;0;78.192;77.865;79.161;78.666;33.351;33.298;33.506;33.427
48;11:25:37.362499;114,513;1,0;0,0;1,0;3;8767,602;0;78.143;77.79;79.152;78.629;33.343;33.286;33.504;33.421
49;11:25:37.693106;119,585;1,0;0,0;1,0;3;8880,887;0;78.094;77.714;79.141;78.587;33.335;33.274;33.503;33.414
50;11:25:38.074714;120,3;0,0;0,0;1,0;4;6292,2;0;78.047;77.634;79.118;78.533;33.328;33.262;33.499;33.405
51;11:25:38.413025;118,914;0,0;0,0;1,0;4;6222,083;0;78.017;77.575;79.1;78.492;33.323;33.252;33.496;33.399
52;11:25:38.736043;115,88;0,0;0,0;1,0;4;6045,05;0;77.972;77.537;79.058;78.462;33.316;33.246;33.489;33.394
53;11:25:39.096889;110,664;0,0;0,0;1,0;4;5749,985;0;77.917;77.51;79.0;78.432;33.307;33.242;33.48;33.389
54;11:25:39.422702;105,971;0,0;0,937;1,0;4;5254,025;0;77.871;77.485;78.941;78.396;33.299;33.238;33.471;33.383
55;11:25:39.774006;19,962;0,0;1,0;1,0;4;2835,22;0;77.824;77.462;78.879;78.349;33.292;33.234;33.461;33.376
56;11:25:40.180383;16,739;0,0;1,0;0,0;4;954,079;0;77.76;77.399;78.81;78.281;33.282;33.224;33.45;33.365
57;11:25:40.529702;8,343;0,0;0,729;0,0;4;937,804;0;77.702;77.343;78.751;78.223;33.272;33.215;33.44;33.356
58;11:25:40.888259;0,062;0,0;0,0;0,0;4;926,427;0;77.645;77.289;78.692;78.164;33.263;33.206;33.431;33.346
59;11:25:41.307866;0,048;0,0;0,0;0,0;4;917,613;0;77.579;77.227;78.623;78.095;33.253;33.196;33.42;33.335
60;11:25:41.680410;0,022;0,0;0,0;0,0;4;912,058;0;77.518;77.17;78.559;78.031;33.243;33.187;33.409;33.325
61;11:25:42.057686;0,023;0,0;0,0;0,0;4;908,279;0;77.458;77.113;78.493;77.967;33.233;33.178;33.399;33.315
62;11:25:42.475241;0,018;0,0;0,0;0,0;4;905,518;0;77.392;77.052;78.421;77.896;33.223;33.168;33.387;33.303
63;11:25:42.844163;0,009;0,0;0,0;0,0;4;903,778;0;77.331;76.995;78.352;77.831;33.213;33.159;33.376;33.293
64;11:25:43.218483;0,008;0,0;0,0;0,0;4;902,602;0;77.271;76.939;78.285;77.766;33.203;33.15;33.366;33.283
65;11:25:43.643408;0,009;0,0;0,0;0,0;4;901,734;0;77.207;76.877;78.211;77.695;33.193;33.14;33.354;33.271
66;11:25:44.007337;0,005;0,0;0,0;0,0;4;901,191;0;77.147;76.821;78.143;77.63;33.184;33.131;33.343;33.261
67;11:25:44.361512;0,002;0,0;0,0;0,0;4;900,837;0;77.091;76.767;78.079;77.568;33.175;33.123;33.333;33.251
68;11:25:44.762126;0,006;0,0;0,0;0,0;4;900,565;0;77.025;76.706;78.007;77.5;33.164;33.113;33.321;33.24
69;11:25:45.120879;0,011;0,0;0,0;0,0;4;900,394;0;76.962;76.651;77.942;77.436;33.154;33.104;33.311;33.23
70;11:25:45.489400;0,008;0,0;0,0;0,0;4;900,273;0;76.894;76.594;77.875;77.371;33.143;33.095;33.3;33.219
71;11:25:45.905672;0,004;0,0;0,0;0,0;4;900,182;0;76.81;76.53;77.802;77.298;33.13;33.085;33.288;33.208
72;11:25:46.258528;0,009;0,0;0,0;0,0;4;900,127;0;76.731;76.473;77.737;77.234;33.117;33.076;33.278;33.197
73;11:25:46.618074;0,008;0,0;0,0;0,0;4;900,089;0;76.649;76.416;77.671;77.169;33.104;33.067;33.267;33.187
74;11:25:47.028359;0,006;0,0;0,0;0,0;4;900,06;0;76.558;76.354;77.599;77.098;33.089;33.057;33.256;33.176
75;11:25:47.384027;0,009;0,0;0,0;0,0;4;900,042;0;76.474;76.296;77.534;77.034;33.076;33.047;33.246;33.165
76;11:25:47.746299;0,004;0,0;0,0;0,0;4;900,029;0;76.39;76.236;77.47;76.969;33.062;33.038;33.235;33.155
77;11:25:48.146270;0,005;0,0;0,0;0,0;4;900,02;0;76.299;76.167;77.4;76.899;33.048;33.027;33.224;33.144
78;11:25:48.501575;0,003;0,0;0,0;0,0;4;900,014;0;76.214;76.098;77.335;76.834;33.034;33.016;33.214;33.133
79;11:25:48.854128;0,006;0,0;0,0;0,0;4;900,01;0;76.133;76.03;77.272;76.771;33.021;33.005;33.204;33.123
80;11:25:49.265219;0,003;0,0;0,0;0,0;1;900,006;0;76.04;75.947;77.201;76.7;33.006;32.992;33.192;33.112
81;11:25:49.619976;0,008;0,0;0,0;0,0;1;900,005;0;75.956;75.868;77.136;76.635;32.993;32.979;33.182;33.102
82;11:25:49.986409;0,004;0,0;0,0;0,0;1;900,003;0;75.871;75.785;77.071;76.57;32.979;32.966;33.171;33.091
83;11:25:50.398742;0,006;0,0;0,0;0,0;0;900,002;0;75.778;75.692;76.999;76.499;32.964;32.951;33.16;33.08
84;11:25:50.765019;0,005;0,0;0,0;0,0;0;900,001;0;75.69;75.605;76.932;76.431;32.95;32.937;33.149;33.069
85;11:25:51.129743;0,004;0,0;0,0;0,0;0;900,001;0;75.607;75.522;76.867;76.367;32.937;32.924;33.139;33.059
86;11:25:51.538349;0,006;0,0;0,0;0,0;0;900,001;0;75.515;75.43;76.796;76.295;32.922;32.909;33.127;33.047
87;11:25:51.905694;0,003;0,0;0,0;0,0;0;900,0;0;75.429;75.344;76.729;76.228;32.909;32.895;33.117;33.037
88;11:25:52.264099;0,01;0,0;0,0;0,0;0;900,0;0;75.347;75.262;76.666;76.165;32.896;32.882;33.106;33.026
89;11:25:52.674929;0,988;0,686;0,0;0,335;0;1201,629;0;75.255;75.17;76.594;76.093;32.881;32.867;33.095;33.015
90;11:25:53.032680;5,813;0,0;0,0;0,046;0;1024,975;0;75.17;75.086;76.528;76.029;32.867;32.854;33.085;33.005
91;11:25:53.392320;5,334;0,0;0,0;0,0;0;977,063;0;75.085;75.003;76.464;75.966;32.854;32.841;33.074;32.994
92;11:25:53.796908;8,27;0,729;0,0;0,469;0;1274,184;0;74.992;74.914;76.394;75.896;32.839;32.826;33.063;32.983
93;11:25:54.159637;8,281;0,0;0,0;0,0;0;988,492;0;74.904;74.828;76.325;75.83;32.825;32.813;33.052;32.973
